date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,7.3,4.4,11.1,0,0,198,12.6,,1015.1,
2023-01-02,10.3,8.9,13.9,0.3,0,101,8.6,,1015.6,
2023-01-03,14.9,13.3,17.2,21.6,0,181,18.7,,1005.5,
2023-01-04,10.2,2.8,15,0,0,252,19.8,,1008.3,
2023-01-05,2.9,0.6,4.4,0.3,0,230,19.8,,1014.3,
2023-01-06,1.1,-2.1,3.9,0,0,249,15.1,,1021.9,
2023-01-07,-0.6,-4.3,3.9,0,0,32,11.9,,1026.9,
2023-01-08,0.6,-1,3.9,0,0,11,11.5,,1023.2,
2023-01-09,0.8,-1.6,6.7,0,0,226,13.3,,1022.1,
2023-01-10,4.2,0.6,11.1,0,0,184,11.2,,1014.1,
2023-01-11,6.3,3.9,9.4,0.3,0,141,11.5,,1010.7,
2023-01-12,7.6,2.2,9.4,22.1,0,5,25.2,,1009.5,
2023-01-13,1.4,-0.5,2.2,0.5,0,328,24.1,,1020,
2023-01-14,-1.2,-4.3,0,0,0,344,13.7,,1025.4,
2023-01-15,-1.6,-5.5,5.6,0,0,142,15.5,,1022.4,
2023-01-16,2.6,0.6,11.1,3.6,0,144,17.3,,1010.3,
2023-01-17,8.8,3.9,12.2,1.3,0,250,25.6,,1005.6,
2023-01-18,3.4,1.1,7.2,25.4,0,73,16.2,,1013.2,
2023-01-19,7.6,1.7,13.3,2.3,0,225,30.6,,1003.4,
2023-01-20,1.3,-1,1.7,0,0,275,25.9,,1019.5,
2023-01-21,-0.6,-1,0.6,0,0,214,10.4,,1022.7,
2023-01-22,-0.2,-2.1,1.1,1,0,15,9.4,,1011.7,
2023-01-23,-0.2,-2.7,0.6,0,0,267,18.4,,1019.7,
2023-01-24,0.4,-3.2,6.7,0,0,233,11.2,,1022.8,
2023-01-25,1.5,0,3.3,17.5,30,358,20.2,,1006.4,
2023-01-26,-1.2,-4.3,0.6,0,30,262,26.6,,1015.6,
2023-01-27,-2.7,-7.1,5,0,30,212,22.3,,1016.8,
2023-01-28,3.7,-1.6,11.7,1,0,193,14.8,,1020.5,
2023-01-29,4.9,-1,6.1,2.3,0,294,15.8,,1020.1,
2023-01-30,-1.7,-7.1,-1,1.5,0,349,16.9,,1026,
2023-01-31,-7.4,-10.5,-4.3,0,0,352,13.3,,1029.3,
2023-02-01,-7.2,-12.1,-1.6,0,0,337,5,,1029.3,
2023-02-02,-2.4,-7.1,4.4,0,0,238,19.8,,1023.1,
2023-02-03,-6,-11,-3.8,0,0,331,16.6,,1033.1,
2023-02-04,-4.2,-9.9,7.2,0,0,182,25.9,,1026.5,
2023-02-05,6.3,0.6,11.1,0,0,238,25.6,,1016.6,
2023-02-06,1.9,-3.2,7.8,0,0,112,15.1,,1021.9,
2023-02-07,9.2,1.1,14.4,0,0,233,19.4,,1018.1,
2023-02-08,3.6,-2.7,10,11.4,0,101,9.4,,1022.9,
2023-02-09,9.2,2.8,15.6,23.1,0,201,35.6,,1008.7,
2023-02-10,3.1,-2.1,6.1,0,0,280,16.2,,1025.1,
2023-02-11,0.3,-4.3,7.2,0,0,34,4.7,,1028.1,
2023-02-12,3.1,-4.9,12.8,0,0,345,6.8,,1017.2,
2023-02-13,5.9,-0.5,13.9,0,0,263,14,,1011.9,
2023-02-14,6.4,0.6,13.9,2.3,0,138,20.2,,1010.2,
2023-02-15,13.6,5.6,17.8,0,0,239,29.9,,1009.6,
2023-02-16,8.1,0.6,15,9.9,0,48,22,,1009.9,
2023-02-17,0.2,-5.5,0.6,0,0,306,22.7,,1023.2,
2023-02-18,-0.8,-6.6,9.4,0,0,204,20.2,,1027.7,
2023-02-19,7.3,3.3,14.4,0,0,214,23,,1014.9,
2023-02-20,8.4,3.3,15,0,0,273,11.5,,1007.3,
2023-02-21,6.9,3.3,10,0,0,269,19.1,,1008.2,
2023-02-22,8.7,3.9,21.7,10.2,0,140,22.7,,1002.6,
2023-02-23,13.5,-1.6,19.4,0,0,244,29.5,,1014.3,
2023-02-24,-0.4,-5.5,4.4,0,0,27,15.8,,1033.5,
2023-02-25,3.6,-0.5,9.4,0,0,313,12.6,,1023.7,
2023-02-26,4.1,-1.6,13.9,0,0,323,6.1,,1016.2,
2023-02-27,11.3,7.8,17.2,7.9,0,188,32,,997.1,
2023-02-28,7.7,4.4,10.6,0,0,3,17.6,,1010,
2023-03-01,11.1,3.9,24.4,0,0,217,15.8,,1006.9,
2023-03-02,8.2,1.1,11.7,0,0,356,15.5,,1012.2,
2023-03-03,5.6,1.1,6.1,56.9,0,52,33.1,,996.7,
2023-03-04,4.2,-1.6,12.8,0,0,243,13,,1014.9,
2023-03-05,7.4,2.2,13.9,0,0,92,12.2,,1022.3,
2023-03-06,12.3,5.6,22.2,0,0,186,20.2,,1013.4,
2023-03-07,8.4,3.3,10,0,0,30,24.8,,1025.6,
2023-03-08,4.8,1.7,10,0,0,82,22.7,,1030.7,
2023-03-09,5.6,0.6,11.7,1.8,0,95,21.6,,1022.4,
2023-03-10,4.3,1.7,5,1,0,293,26.3,,1015.4,
2023-03-11,3.2,0.6,7.8,0,0,70,14,,1017,
2023-03-12,2.7,0.6,4.4,5.1,30,30,14,,1012.2,
2023-03-13,0.3,-2.1,1.7,1,0,292,23,,1018.4,
2023-03-14,-1.1,-4.9,3.9,0,0,315,17.3,,1026.8,
2023-03-15,0.8,-6.6,10.6,0,0,247,9.4,,1026,
2023-03-16,6.7,1.7,13.3,3.3,0,166,22,,1013.1,
2023-03-17,5.1,-2.1,11.1,2.3,0,264,32.4,,1007.9,
2023-03-18,-3.6,-7.1,-1.6,0.3,0,264,25.9,,1018.9,
2023-03-19,-3.9,-8.2,2.8,0,0,266,16.6,,1027.4,
2023-03-20,0.7,-6,10.6,0,0,202,20.5,,1025.4,
2023-03-21,5.7,0,12.2,0.8,0,189,17.3,,1024.2,
2023-03-22,7.4,5,11.7,4.1,0,175,19.8,,1018.5,
2023-03-23,14,6.7,19.4,10.2,0,238,23.4,,1012.6,
2023-03-24,6.4,5,7.2,37.8,0,49,20.5,,1011.9,
2023-03-25,6.9,2.2,11.1,5.6,0,229,27.4,,1003.5,
2023-03-26,7.9,0.6,18.3,3,0,183,15.1,,1014.6,
2023-03-27,8.3,1.7,10,9.7,0,299,15.8,,1017.9,
2023-03-28,3.9,-2.7,10.6,0,0,342,11.5,,1024.6,
2023-03-29,5.6,-0.5,12.8,0,0,272,18.4,,1024.3,
2023-03-30,5.8,-1,16.7,0,0,120,18.4,,1023.5,
2023-03-31,13.2,9.4,20,10.4,0,177,31.3,,1007.9,
2023-04-01,10.4,3.3,13.9,0,0,257,30.6,,1006.2,
2023-04-02,5.8,1.1,14.4,0,0,115,12.2,,1017.3,
2023-04-03,13.2,6.7,24.4,0,0,177,17.6,,1009.3,
2023-04-04,17.4,13.9,26.7,0.3,0,156,20.5,,1008.3,
2023-04-05,21.2,7.8,24.4,18.8,0,215,27.7,,1010,
2023-04-06,7.6,3.9,11.1,0,0,321,10.4,,1027.7,
2023-04-07,7.4,2.2,14.4,0,0,48,15.5,,1031.9,
2023-04-08,9.8,3.9,16.7,0,0,86,16.9,,1029,
2023-04-09,11.6,4.4,18.3,0,0,88,13.3,,1029.8,
2023-04-10,13.3,5.6,21.1,0,0,94,6.1,,1028.1,
2023-04-11,15.4,6.1,23.3,0,0,257,12.6,,1024.7,
2023-04-12,17.9,11.1,25.6,0,0,229,16.9,,1018.5,
2023-04-13,18.3,10.6,26.7,0,0,154,7.2,,1013.4,
2023-04-14,19.8,15,25.6,0,0,140,7.9,,1009.4,
